"","regulatory regions","TF motif","motif score","Target_gene"
"119","chr4_154496858_154497698_Prdm16","SOX9",12.0629322776965,"Prdm16"
"120","chr5_77154662_77155534_Rest","SOX9",11.2591361162768,"Rest"
"121","chr5_77398029_77398943_Rest","SOX9",11.2591361162768,"Rest"
"122","chr5_77192977_77193828_Rest","SOX9",11.6175612612768,"Rest"
"123","chr5_136393345_136394088_Cux1","SOX9",11.2707371628099,"Cux1"
"124","chr6_72740374_72741224_Tcf7l1","SOX9",12.7017829853369,"Tcf7l1"
"125","chr6_144647930_144648811_Sox5","SOX9",13.4593649039425,"Sox5"
"126","chr6_144928913_144929783_Sox5","SOX9",11.2591361162768,"Sox5"
"127","chr12_73046310_73047228_Six4","SOX9",11.3058398568363,"Six4"
"128","chr12_73012235_73013148_Six4","SOX9",11.676831559524,"Six4"
"129","chr16_42674717_42675629_Zbtb20","SOX9",11.2707371628099,"Zbtb20"
"130","chr16_50594630_50595552_Bbx","SOX9",11.3058398568363,"Bbx"
"131","chr9_72088958_72089884_Tcf12","SOX9",11.2591361162768,"Tcf12"
"132","chr1_168283386_168284224_Pbx1","SOX9",11.6175612612768,"Pbx1"
"133","chr6_115321721_115322641_Pparg","SOX9",13.167338294769,"Pparg"
"134","chr9_32786786_32787700_Ets1","SOX9",11.2591361162768,"Ets1"
"135","chr12_73046310_73047228_Six1","SOX9",11.3058398568363,"Six1"
"136","chr18_5414146_5415055_Zeb1","SOX9",13.8061890024093,"Zeb1"
"137","chr3_99187807_99188622_Tbx15","SOX9",13.8061890024093,"Tbx15"
"138","chr17_86731819_86732726_Epas1","SOX9",11.2707371628099,"Epas1"
"139","chr19_28560682_28561528_Glis3","SOX9",13.4593649039425,"Glis3"
"140","chr19_28776635_28777530_Glis3","SOX9",13.167338294769,"Glis3"
"141","chr4_32337428_32338274_Bach2","SOX9",13.167338294769,"Bach2"
"142","chr4_32365920_32366833_Bach2","SOX9",12.7017829853369,"Bach2"
"143","chr10_43783036_43783953_Cd24a","SOX9",13.8061890024093,"Cd24a"
"144","chr17_87619736_87620641_Epcam","SOX9",13.167338294769,"Epcam"
"145","chr1_39260706_39261617_Npas2","REST",6.46499036668595,"Npas2"
"146","chr1_52056969_52057811_Stat1","REST",11.7721802737674,"Stat1"
"147","chr1_85828734_85829649_Sp100","REST",6.79180049825613,"Sp100"
"148","chr10_42085072_42085998_Foxo3","REST",7.62365419250247,"Foxo3"
"149","chr10_42072448_42073325_Foxo3","REST",7.5040806302909,"Foxo3"
"150","chr12_35712342_35713257_Ahr","REST",16.2459210947211,"Ahr"
"151","chr14_16483689_16484535_Rarb","REST",10.1639075069331,"Rarb"
"152","chr14_17414087_17414969_Thrb","REST",7.59931696070647,"Thrb"
"153","chr16_92673920_92674806_Runx1","REST",8.15867058921322,"Runx1"
"154","chr2_103343360_103344271_Ehf","REST",8.06239459514977,"Ehf"
"155","chr4_82553551_82554438_Nfib","REST",12.7612945746058,"Nfib"
"156","chr4_98003687_98004638_Nfia","REST",8.24661766112203,"Nfia"
"157","chr5_77114662_77115556_Rest","REST",11.9495651743845,"Rest"
"158","chr6_72677053_72677985_Tcf7l1","REST",8.62351993490114,"Tcf7l1"
"159","chr7_112917880_112918806_Tead1","REST",11.5926414120297,"Tead1"
"160","chr9_63612505_63613394_Smad3","REST",6.7460973586424,"Smad3"
"161","chr9_63888889_63889700_Smad3","REST",17.2410598129405,"Smad3"
"162","chr9_63960190_63960990_Smad3","REST",8.82805678614855,"Smad3"
"163","chr1_190155707_190156574_Prox1","REST",6.45997093704857,"Prox1"
"164","chr1_190174962_190175748_Prox1","REST",7.87967383321529,"Prox1"
"165","chr12_27356958_27357828_Sox11","REST",6.44287222324171,"Sox11"
"166","chr12_73046310_73047228_Six4","REST",7.59869875670098,"Six4"
"167","chr16_42911576_42912474_Zbtb20","REST",7.52565684181036,"Zbtb20"
"168","chr19_41628947_41629794_Lcor","REST",8.58561252524333,"Lcor"
"169","chr19_41454746_41455649_Lcor","REST",6.4987579460673,"Lcor"
"170","chr5_121809416_121810283_Cux2","REST",7.62955247961816,"Cux2"
"171","chr5_121853508_121854406_Cux2","REST",12.7952829498863,"Cux2"
"172","chr9_37359292_37359984_Pknox2","REST",6.9120991603956,"Pknox2"
"173","chr9_36898338_36899229_Pknox2","REST",8.33511788003934,"Pknox2"
"174","chr6_115134514_115135366_Pparg","REST",11.6244056147758,"Pparg"
"175","chr12_73046310_73047228_Six1","REST",7.59869875670098,"Six1"
"176","chr15_50974569_50975454_Trps1","REST",13.288316750191,"Trps1"
"177","chr2_116066930_116067722_Meis2","REST",11.5220065147076,"Meis2"
"178","chr2_168836478_168837391_Nfatc2","REST",16.870731653564,"Nfatc2"
"179","chr2_168737607_168738516_Nfatc2","REST",6.67514408137837,"Nfatc2"
"180","chr2_168798869_168799800_Nfatc2","REST",10.5968397403013,"Nfatc2"
"181","chr3_99245059_99245954_Tbx15","REST",7.24649806949126,"Tbx15"
"182","chr7_116179517_116180410_Sox6","REST",8.18135953258079,"Sox6"
"183","chr12_85630941_85631824_Fos","REST",6.64108567603689,"Fos"
"184","chr12_85540873_85541779_Fos","REST",7.36220501262221,"Fos"
"185","chr12_85623461_85624336_Fos","REST",11.0046498775252,"Fos"
"186","chr12_85350442_85351338_Fos","REST",12.2258752983268,"Fos"
"187","chr16_30180515_30181440_Hes1","REST",12.5719688644639,"Hes1"
"188","chr16_87725715_87726590_Bach1","REST",8.54109825619272,"Bach1"
"189","chr16_87784162_87785054_Bach1","REST",9.81543238203393,"Bach1"
"190","chr17_86525708_86526622_Epas1","REST",9.17578920686729,"Epas1"
"191","chr17_86964339_86965218_Epas1","REST",6.46333056227109,"Epas1"
"192","chr19_28621360_28622273_Glis3","REST",10.7258754008822,"Glis3"
"193","chr2_75772323_75773240_Nfe2l2","REST",11.7207275676235,"Nfe2l2"
"194","chr2_75776782_75777687_Nfe2l2","REST",9.08422440815483,"Nfe2l2"
"195","chr2_75869420_75870270_Nfe2l2","REST",10.1292771257068,"Nfe2l2"
"196","chr2_75768103_75768912_Nfe2l2","REST",6.92224084646564,"Nfe2l2"
"197","chr2_75621877_75622796_Nfe2l2","REST",8.97121397545188,"Nfe2l2"
"198","chr8_84743731_84744632_Junb","REST",9.54821966945781,"Junb"
"199","chr17_87609379_87610239_Epcam","REST",8.10330161074996,"Epcam"
"200","chr17_87797537_87798382_Epcam","REST",8.61224803969887,"Epcam"
"201","chr17_87501688_87502610_Epcam","REST",8.4369563896498,"Epcam"
"202","chr19_55741208_55742064_Tcf7l2","REST",6.42706751356986,"Tcf7l2"
"203","chr4_154636756_154637324_Prdm16","REST",7.4883692662318,"Prdm16"
"204","chr5_77265179_77265898_Rest","REST",8.5100501131004,"Rest"
"205","chr9_63757738_63758644_Smad3","REST",7.9411431565522,"Smad3"
"206","chr1_39317682_39318597_Npas2","RUNX1",13.3696108968862,"Npas2"
"207","chr10_42107235_42108102_Foxo3","RUNX1",11.7460258585988,"Foxo3"
"208","chr10_42269099_42269997_Foxo3","RUNX1",15.1765869856367,"Foxo3"
"209","chr12_35294416_35295333_Ahr","RUNX1",11.7480584544938,"Ahr"
"210","chr15_37432167_37433070_Grhl2","RUNX1",12.8263253305363,"Grhl2"
"211","chr15_37312713_37313565_Grhl2","RUNX1",12.5897002498321,"Grhl2"
"212","chr16_92653842_92654548_Runx1","RUNX1",12.1376736724129,"Runx1"
"213","chr19_55758805_55759698_Tcf7l2","RUNX1",12.6803304816286,"Tcf7l2"
"214","chr2_103387822_103388621_Ehf","RUNX1",12.2858821869489,"Ehf"
"215","chr3_135527501_135528395_Nfkb1","RUNX1",13.7530517613213,"Nfkb1"
"216","chr3_135628476_135629356_Nfkb1","RUNX1",13.7309993842206,"Nfkb1"
"217","chr3_135731143_135732018_Nfkb1","RUNX1",14.1276971250329,"Nfkb1"
"218","chr4_82470275_82471067_Nfib","RUNX1",13.2003419371137,"Nfib"
"219","chr4_82516123_82517026_Nfib","RUNX1",12.3516254771705,"Nfib"
"220","chr4_82765405_82766299_Nfib","RUNX1",11.9687061404552,"Nfib"
"221","chr4_98003687_98004638_Nfia","RUNX1",12.8827522486398,"Nfia"
"222","chr4_97714290_97715186_Nfia","RUNX1",12.0478141927936,"Nfia"
"223","chr4_154714834_154715748_Prdm16","RUNX1",12.049753761404,"Prdm16"
"224","chr4_154496858_154497698_Prdm16","RUNX1",12.3527757620245,"Prdm16"
"225","chr6_72778755_72779645_Tcf7l1","RUNX1",11.9907585175559,"Tcf7l1"
"226","chr6_72641214_72642117_Tcf7l1","RUNX1",13.6524515277121,"Tcf7l1"
"227","chr6_144647930_144648811_Sox5","RUNX1",12.7921520140297,"Sox5"
"228","chr7_112696933_112697821_Tead1","RUNX1",12.1941005905164,"Tead1"
"229","chr7_112917880_112918806_Tead1","RUNX1",14.4100684314964,"Tead1"
"230","chr7_112471877_112472745_Tead1","RUNX1",12.5777008877233,"Tead1"
"231","chr9_63715869_63716786_Smad3","RUNX1",13.5840320260062,"Smad3"
"232","chr9_63664701_63665626_Smad3","RUNX1",15.6512868390025,"Smad3"
"233","chr1_64752976_64753789_Creb1","RUNX1",12.7493787404687,"Creb1"
"234","chr1_190174962_190175748_Prox1","RUNX1",12.6699859178216,"Prox1"
"235","chr12_73098267_73099194_Six4","RUNX1",14.9626351808791,"Six4"
"236","chr16_42865799_42866789_Zbtb20","RUNX1",13.3485504516496,"Zbtb20"
"237","chr19_41495286_41496179_Lcor","RUNX1",14.5006986632929,"Lcor"
"238","chr19_41454746_41455649_Lcor","RUNX1",13.3485504516496,"Lcor"
"239","chr5_122280677_122281225_Cux2","RUNX1",12.7921520140297,"Cux2"
"240","chr5_121809416_121810283_Cux2","RUNX1",14.9626351808791,"Cux2"
"241","chr5_121853508_121854406_Cux2","RUNX1",12.3682906109113,"Cux2"
"242","chr5_122026506_122027336_Cux2","RUNX1",12.1405604020568,"Cux2"
"243","chr5_121819831_121820663_Cux2","RUNX1",12.6598987935262,"Cux2"
"244","chr9_49796604_49797425_Ncam1","RUNX1",13.0540555393909,"Ncam1"
"245","chr12_73755361_73756255_Hif1a","RUNX1",11.8780759086587,"Hif1a"
"246","chr12_73867321_73868208_Hif1a","RUNX1",14.4189700818524,"Hif1a"
"247","chr9_32413514_32414340_Ets1","RUNX1",11.8901582839467,"Ets1"
"248","chr9_32709277_32710062_Ets1","RUNX1",11.9813342596981,"Ets1"
"249","chr9_32730366_32731258_Ets1","RUNX1",13.3474001667956,"Ets1"
"250","chr9_32615645_32616555_Ets1","RUNX1",14.4189700818524,"Ets1"
"251","chr12_73098267_73099194_Six1","RUNX1",14.9626351808791,"Six1"
"252","chr18_5440315_5441168_Zeb1","RUNX1",13.3485504516496,"Zeb1"
"253","chr2_33875080_33875948_Lmx1b","RUNX1",12.4367101126173,"Lmx1b"
"254","chr2_168836478_168837391_Nfatc2","RUNX1",12.7921520140297,"Nfatc2"
"255","chr2_168584549_168585445_Nfatc2","RUNX1",12.5777008877233,"Nfatc2"
"256","chr2_168798869_168799800_Nfatc2","RUNX1",14.432279161587,"Nfatc2"
"257","chr3_99174692_99175588_Tbx15","RUNX1",12.5897832630114,"Tbx15"
"258","chr3_99245059_99245954_Tbx15","RUNX1",12.8738505982838,"Tbx15"
"259","chr10_4625041_4625909_Esr1","RUNX1",13.3904790391622,"Esr1"
"260","chr10_128204302_128205046_Stat2","RUNX1",13.4252670628125,"Stat2"
"261","chr12_85684283_85685151_Fos","RUNX1",12.986533207181,"Fos"
"262","chr12_85540873_85541779_Fos","RUNX1",12.3174521606638,"Fos"
"263","chr12_85368578_85369508_Fos","RUNX1",13.1224750410968,"Fos"
"264","chr12_85350442_85351338_Fos","RUNX1",14.1276971250329,"Fos"
"265","chr16_29945738_29946668_Hes1","RUNX1",11.9620102592514,"Hes1"
"266","chr16_30180515_30181440_Hes1","RUNX1",15.1765869856367,"Hes1"
"267","chr16_30060160_30061037_Hes1","RUNX1",12.1305073870648,"Hes1"
"268","chr16_87784162_87785054_Bach1","RUNX1",12.1851989401604,"Bach1"
"269","chr17_86731819_86732726_Epas1","RUNX1",12.6699859178216,"Epas1"
"270","chr19_28827509_28828404_Glis3","RUNX1",11.7945174880796,"Glis3"
"271","chr4_32337428_32338274_Bach2","RUNX1",13.3563018171516,"Bach2"
"272","chr4_32403359_32403966_Bach2","RUNX1",14.4879353275132,"Bach2"
"273","chr4_32387535_32388474_Bach2","RUNX1",13.2003419371137,"Bach2"
"274","chr4_32179519_32180418_Bach2","RUNX1",11.7480584544938,"Bach2"
"275","chr4_95075375_95076055_Jun","RUNX1",11.6776063568929,"Jun"
"276","chr4_95187873_95188784_Jun","RUNX1",11.9907585175559,"Jun"
"277","chr4_95143403_95144287_Jun","RUNX1",13.3485504516496,"Jun"
"278","chr7_19316346_19317199_Fosb","RUNX1",11.8217387822408,"Fosb"
"279","chr8_84732871_84733791_Junb","RUNX1",12.8738505982838,"Junb"
"280","chr9_21021731_21022629_Icam1","RUNX1",14.1961166267388,"Icam1"
"281","chr2_116065357_116066261_Meis2","RUNX1",12.647775187731,"Meis2"
"282","chr1_52055484_52056360_Stat1","NFATC2",12.4387673741723,"Stat1"
"283","chr1_85810513_85811366_Sp100","NFATC2",12.4387673741723,"Sp100"
"284","chr1_85828734_85829649_Sp100","NFATC2",12.4387673741723,"Sp100"
"285","chr12_35712342_35713257_Ahr","NFATC2",12.4387673741723,"Ahr"
"286","chr12_35294416_35295333_Ahr","NFATC2",12.4387673741723,"Ahr"
"287","chr12_35291592_35292512_Ahr","NFATC2",12.4387673741723,"Ahr"
"288","chr14_16554033_16554940_Rarb","NFATC2",12.4387673741723,"Rarb"
"289","chr14_17685268_17686173_Thrb","NFATC2",12.4387673741723,"Thrb"
"290","chr14_17457616_17458515_Thrb","NFATC2",12.4387673741723,"Thrb"
"291","chr14_17691068_17691934_Thrb","NFATC2",12.4387673741723,"Thrb"
"292","chr14_17872992_17873816_Thrb","NFATC2",12.4387673741723,"Thrb"
"293","chr15_37040885_37041810_Grhl2","NFATC2",12.4387673741723,"Grhl2"
"294","chr15_37432167_37433070_Grhl2","NFATC2",12.4387673741723,"Grhl2"
"295","chr15_37312713_37313565_Grhl2","NFATC2",12.4387673741723,"Grhl2"
"296","chr16_92673920_92674806_Runx1","NFATC2",12.4387673741723,"Runx1"
"297","chr16_92653842_92654548_Runx1","NFATC2",12.4387673741723,"Runx1"
"298","chr2_103343360_103344271_Ehf","NFATC2",12.4387673741723,"Ehf"
"299","chr2_103387822_103388621_Ehf","NFATC2",12.4387673741723,"Ehf"
"300","chr2_103258930_103259848_Ehf","NFATC2",12.4387673741723,"Ehf"
"301","chr2_103111444_103112324_Ehf","NFATC2",12.4387673741723,"Ehf"
"302","chr4_82553551_82554438_Nfib","NFATC2",12.4387673741723,"Nfib"
"303","chr4_82516123_82517026_Nfib","NFATC2",12.4387673741723,"Nfib"
"304","chr4_82765405_82766299_Nfib","NFATC2",12.4387673741723,"Nfib"
"305","chr4_97714290_97715186_Nfia","NFATC2",12.4387673741723,"Nfia"
"306","chr4_154700751_154701666_Prdm16","NFATC2",12.4387673741723,"Prdm16"
"307","chr5_77154662_77155534_Rest","NFATC2",12.4387673741723,"Rest"
"308","chr5_136382360_136383236_Cux1","NFATC2",12.4387673741723,"Cux1"
"309","chr6_72736650_72737562_Tcf7l1","NFATC2",12.4387673741723,"Tcf7l1"
"310","chr6_72653186_72654083_Tcf7l1","NFATC2",12.4387673741723,"Tcf7l1"
"311","chr6_72623733_72624668_Tcf7l1","NFATC2",12.4387673741723,"Tcf7l1"
"312","chr6_144928913_144929783_Sox5","NFATC2",12.4387673741723,"Sox5"
"313","chr7_112917880_112918806_Tead1","NFATC2",12.4387673741723,"Tead1"
"314","chr7_112728073_112728930_Tead1","NFATC2",12.4387673741723,"Tead1"
"315","chr8_84698613_84699509_Nfix","NFATC2",12.4387673741723,"Nfix"
"316","chr9_63698498_63699390_Smad3","NFATC2",12.4387673741723,"Smad3"
"317","chr9_63715869_63716786_Smad3","NFATC2",12.4387673741723,"Smad3"
"318","chr9_63664701_63665626_Smad3","NFATC2",12.4387673741723,"Smad3"
"319","chr1_189994058_189994909_Prox1","NFATC2",12.4387673741723,"Prox1"
"320","chr1_190174962_190175748_Prox1","NFATC2",12.4387673741723,"Prox1"
"321","chr10_87280230_87281130_Ascl1","NFATC2",12.4387673741723,"Ascl1"
"322","chr12_73098267_73099194_Six4","NFATC2",12.4387673741723,"Six4"
"323","chr12_73012235_73013148_Six4","NFATC2",12.4387673741723,"Six4"
"324","chr16_42674717_42675629_Zbtb20","NFATC2",12.4387673741723,"Zbtb20"
"325","chr16_42720300_42721208_Zbtb20","NFATC2",12.4387673741723,"Zbtb20"
"326","chr19_41495286_41496179_Lcor","NFATC2",12.4387673741723,"Lcor"
"327","chr19_41454746_41455649_Lcor","NFATC2",12.4387673741723,"Lcor"
"328","chr5_122287913_122288777_Cux2","NFATC2",12.4387673741723,"Cux2"
"329","chr9_72088958_72089884_Tcf12","NFATC2",12.4387673741723,"Tcf12"
"330","chr12_73755361_73756255_Hif1a","NFATC2",12.4387673741723,"Hif1a"
"331","chr12_73764430_73765313_Hif1a","NFATC2",12.4387673741723,"Hif1a"
"332","chr6_115127038_115127949_Pparg","NFATC2",12.4387673741723,"Pparg"
"333","chr6_115318602_115319507_Pparg","NFATC2",12.4387673741723,"Pparg"
"334","chr6_115123003_115123894_Pparg","NFATC2",12.4387673741723,"Pparg"
"335","chr9_32413514_32414340_Ets1","NFATC2",12.4387673741723,"Ets1"
"336","chr9_32449806_32450701_Ets1","NFATC2",12.4387673741723,"Ets1"
"337","chr9_32709277_32710062_Ets1","NFATC2",12.4387673741723,"Ets1"
"338","chr9_32730366_32731258_Ets1","NFATC2",12.4387673741723,"Ets1"
"339","chr9_32615645_32616555_Ets1","NFATC2",12.4387673741723,"Ets1"
"340","chr9_32786786_32787700_Ets1","NFATC2",12.4387673741723,"Ets1"
"341","chr9_44914472_44915382_Kmt2a","NFATC2",12.4387673741723,"Kmt2a"
"342","chr12_73098267_73099194_Six1","NFATC2",12.4387673741723,"Six1"
"343","chr15_50974569_50975454_Trps1","NFATC2",12.4387673741723,"Trps1"
"344","chr18_35021905_35022746_Egr1","NFATC2",12.4387673741723,"Egr1"
